command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_250000.bed -b data/random_b_250000.bed -o /dev/null,0.07939629235333334,0.0011094929213592711,0.07909759802,0.07568314666666666,0.0030000066666666663,0.07846672302,0.08062455602
gia intersect -S -a data/random_a_250000.bed -b data/random_b_250000.bed -o /dev/null,0.04806751502000001,0.0002519958097647662,0.04817864002,0.04607148,0.0015233399999999998,0.04777905702,0.04824484802
bedtools intersect -a data/random_a_250000.bed -b data/random_b_250000.bed > /dev/null,0.32753105702,0.003126071040841675,0.32905118202,0.3121048133333333,0.01313534,0.32393564002,0.32960634902
bedtools intersect -a data/random_a_250000.bed -b data/random_b_250000.bed -sorted > /dev/null,0.16674559835333336,0.00038235192460655203,0.16686018202000003,0.15852048,0.007379673333333333,0.16631905602000002,0.16705755702000002
bedops -i data/random_a_250000.bed data/random_b_250000.bed > /dev/null,0.12327402902000001,0.0009684850945001687,0.12286018202000001,0.11800847999999999,0.004447006666666666,0.12258122402,0.12438068102000001
