command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_2500.bed -b data/random_b_2500.bed -o /dev/null,0.0016130756333333333,0.00002010214379943932,0.0016080483000000003,0.0009705133333333334,0.00039881999999999965,0.0015959643,0.0016352143000000002
gia intersect -S -a data/random_a_2500.bed -b data/random_b_2500.bed -o /dev/null,0.0015631729666666667,0.00012688181350112125,0.0015002983,0.0009275133333333333,0.0004088199999999997,0.0014800063000000002,0.0017092143
bedtools intersect -a data/random_a_2500.bed -b data/random_b_2500.bed > /dev/null,0.0032709509666666668,0.00006707627802981715,0.0032438403,0.002116513333333333,0.0008384866666666663,0.0032216733,0.0033473393
bedtools intersect -a data/random_a_2500.bed -b data/random_b_2500.bed -sorted > /dev/null,0.002876575966666666,0.00015668014686402794,0.0029021732999999997,0.0017568466666666666,0.0008348199999999997,0.0027086732999999997,0.0030188813
bedops -i data/random_a_2500.bed data/random_b_2500.bed > /dev/null,0.0034126876333333334,0.000020661226883545247,0.0034240073000000003,0.0019428466666666668,0.001141153333333333,0.0033888403000000003,0.0034252153000000002
