command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_500.bed -b data/random_b_500.bed -o /dev/null,0.0013370784933333334,0.000056866650343882,0.0013455091600000002,0.0006311,0.00043208000000000005,0.00127646716,0.0013892591600000001
gia intersect -S -a data/random_a_500.bed -b data/random_b_500.bed -o /dev/null,0.0013538148266666666,0.000054265694138500954,0.00135092616,0.0006481000000000001,0.00045774666666666667,0.00130105116,0.00140946716
bedtools intersect -a data/random_a_500.bed -b data/random_b_500.bed > /dev/null,0.0021054114933333336,0.00005911215121557765,0.00211434216,0.0011067666666666669,0.0007644133333333334,0.00204234216,0.00215955016
bedtools intersect -a data/random_a_500.bed -b data/random_b_500.bed -sorted > /dev/null,0.0021918424933333332,0.00022444523042010334,0.00206263416,0.0010864333333333333,0.0008164133333333334,0.00206188416,0.00245100916
bedops -i data/random_a_500.bed data/random_b_500.bed > /dev/null,0.0024170504933333334,0.00009095674300090851,0.0024237591600000004,0.0010974333333333335,0.0010554133333333334,0.0023229251600000002,0.00250446716
