command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_250.bed -b data/random_b_250.bed -o /dev/null,0.0011007229133333336,0.000039572428499314346,0.0010843895800000001,0.0005363399999999998,0.00035162666666666687,0.0010719315800000002,0.0011458475800000005
gia intersect -S -a data/random_a_250.bed -b data/random_b_250.bed -o /dev/null,0.0011092225800000003,0.00004778860132918732,0.0010910555800000003,0.0005346733333333333,0.00036462666666666686,0.0010731815800000002,0.0011634305800000003
bedtools intersect -a data/random_a_250.bed -b data/random_b_250.bed > /dev/null,0.002008055913333334,0.0001553470066410465,0.0019232645800000003,0.0010030066666666664,0.0007512933333333336,0.0019135555800000002,0.0021873475800000004
bedtools intersect -a data/random_a_250.bed -b data/random_b_250.bed -sorted > /dev/null,0.0019198195800000002,0.0000614036194128653,0.0019209725800000002,0.0009556733333333332,0.0007166266666666669,0.0018578475800000004,0.0019806385800000006
bedops -i data/random_a_250.bed data/random_b_250.bed > /dev/null,0.0023755282466666667,0.00015741937285268702,0.00231459758,0.0009090066666666664,0.0011559600000000001,0.0022576815800000004,0.00255430558
