command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_100000.bed -b data/random_b_100000.bed -o /dev/null,0.025850370193333333,0.00001863614966492064,0.02584284186,0.024100033333333336,0.0013633266666666667,0.02583667586,0.02587159286
gia intersect -S -a data/random_a_100000.bed -b data/random_b_100000.bed -o /dev/null,0.02083667586,0.00014017615485167146,0.02089938386,0.019532366666666665,0.0008659933333333335,0.020676092860000002,0.02093455086
bedtools intersect -a data/random_a_100000.bed -b data/random_b_100000.bed > /dev/null,0.08368656519333333,0.00045442381821415444,0.08353063486,0.07932036666666666,0.003343993333333333,0.08333063486,0.08419842586
bedtools intersect -a data/random_a_100000.bed -b data/random_b_100000.bed -sorted > /dev/null,0.04908699519333334,0.00004799784678851245,0.04911067586000001,0.04698203333333333,0.0016333266666666666,0.04903175886,0.049118550860000006
bedops -i data/random_a_100000.bed data/random_b_100000.bed > /dev/null,0.04947507852666667,0.00011893846129126416,0.049485050860000004,0.04731336666666666,0.0017229933333333333,0.049351467860000005,0.04958871686000001
