command,mean,stddev,median,user,system,min,max
gia sort -i data/large.bed -o /dev/null,0.045080077859682544,0.0003264704173054201,0.04509010132,0.040683093650793645,0.0038942346031746035,0.044371768320000005,0.045734101320000005
gia sort -N -i data/large.bed -o /dev/null,0.056399947261176475,0.0004936912517613175,0.05632514332,0.05078626078431372,0.005046334509803921,0.05543910132,0.05776364332
bedtools sort -i data/large.bed > /dev/null,0.25073738204727275,0.0036298025923423988,0.25106701832,0.22755493636363633,0.021079514545454547,0.24496764332,0.25776610132
sort-bed data/large.bed > /dev/null,0.18030979694500004,0.0010464194369351066,0.18025118482000002,0.17168111249999995,0.007876497500000001,0.17871847632,0.18258276832
