command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_1000.bed -b data/random_b_1000.bed -o /dev/null,0.0012571694399999996,0.000020743866346464946,0.0012483644399999996,0.0006803866666666666,0.00038258666666666645,0.0012422804399999997,0.0012808634399999997
gia intersect -S -a data/random_a_1000.bed -b data/random_b_1000.bed -o /dev/null,0.0012231834399999998,0.00008841494055305343,0.0011778224399999998,0.0006570533333333332,0.0003612533333333332,0.00116665544,0.0013250724399999996
bedtools intersect -a data/random_a_1000.bed -b data/random_b_1000.bed > /dev/null,0.00235701744,0.00011242281891591216,0.00231190644,0.0013480533333333333,0.0007489199999999997,0.0022741564400000002,0.00248498944
bedtools intersect -a data/random_a_1000.bed -b data/random_b_1000.bed -sorted > /dev/null,0.0022435307733333332,0.0001201244363497011,0.0021935724399999995,0.0012383866666666665,0.0007565866666666664,0.0021564474399999997,0.00238057244
bedops -i data/random_a_1000.bed data/random_b_1000.bed > /dev/null,0.002882475106666666,0.00008708349069906059,0.00290890544,0.0013480533333333333,0.0012279199999999997,0.0027852384399999998,0.0029532814400000003
