command,mean,stddev,median,user,system,min,max
gia intersect -a data/random_a_5000.bed -b data/random_b_5000.bed -o /dev/null,0.0020829277333333338,0.00002442322305375215,0.0020709834000000003,0.0014486133333333334,0.00041903333333333324,0.002066775400000001,0.0021110244000000005
gia intersect -S -a data/random_a_5000.bed -b data/random_b_5000.bed -o /dev/null,0.002029316733333334,0.0001689683479984737,0.0019506494000000004,0.001357613333333333,0.00043869999999999993,0.0019140254000000005,0.0022232754000000004
bedtools intersect -a data/random_a_5000.bed -b data/random_b_5000.bed > /dev/null,0.004544858400000002,0.0001388030931968019,0.004491399400000001,0.003425613333333333,0.0008736999999999999,0.004440733400000001,0.004702442400000001
bedtools intersect -a data/random_a_5000.bed -b data/random_b_5000.bed -sorted > /dev/null,0.0034813444000000005,0.00005225095232624943,0.0034771494000000007,0.0024979466666666668,0.0007630333333333334,0.0034313174000000007,0.0035355664000000005
bedops -i data/random_a_5000.bed data/random_b_5000.bed > /dev/null,0.004377011066666668,0.00009786244416186058,0.004386442400000001,0.00295228,0.0011580333333333333,0.004274774400000001,0.004469816400000001
